date,combo,issue,iterations,runtime_s
2025-04-18,none,0,318,0.0030342079990077764
2025-04-19,none,0,325,0.002994415997818578
2025-04-20,none,0,361,0.0029785409933538176
2025-04-21,none,0,369,0.0029160409976611845
2025-04-22,none,0,350,0.0033914589948835783
2025-04-23,none,0,349,0.0029354159996728413
2025-04-24,none,0,347,0.0028112910003983416
2025-04-25,none,0,315,0.002785124997899402
2025-04-26,none,0,317,0.002810083002259489
2025-04-27,none,0,354,0.0031985419991542585
2025-04-28,none,0,364,0.0029419999991660006
2025-04-29,none,0,362,0.002987125000800006
2025-04-30,none,0,356,0.003049167004064657
2025-05-01,none,0,351,0.002894749995903112
2025-05-02,none,0,338,0.0030084169993642718
2025-05-03,none,0,332,0.0029461250014719553
2025-05-04,none,0,366,0.0029313750055735
2025-05-05,none,0,365,0.0028598330027307384
2025-05-06,none,0,353,0.003334875000291504
2025-05-07,none,0,356,0.003084749994741287
2025-05-08,none,0,370,0.0030444999938481487
2025-05-09,none,0,337,0.0030120830051600933
2025-05-10,none,0,334,0.0028893339986098
2025-05-11,none,0,367,0.0032717089998186566
2025-05-12,none,0,362,0.003202625004632864
2025-05-13,none,0,363,0.002902708001784049
2025-05-14,none,0,365,0.0029515829955926165
2025-05-15,none,0,364,0.0029280419985298067
2025-05-16,none,0,321,0.0030779170047026128
2025-05-17,none,0,334,0.002863207999325823
2025-05-18,none,0,368,0.002971541995066218
2025-05-19,none,0,360,0.002929667003627401
2025-05-20,none,0,362,0.0030668330000480637
2025-05-21,none,0,361,0.0034065419968101196
2025-05-22,none,0,353,0.0030060000062803738
2025-05-23,none,0,328,0.0027799999952549115
2025-05-24,none,0,319,0.0027474160015117377
2025-05-25,none,0,345,0.003015000002051238
2025-05-26,none,0,354,0.0032273339966195635
2025-05-27,none,0,352,0.0029450840011122636
2025-05-28,none,0,346,0.0029232500019134022
2025-05-29,none,0,349,0.0028720420013996772
2025-05-30,none,0,339,0.0028497910025180317
2025-05-31,none,0,343,0.0031846669953665696
2025-06-01,none,0,362,0.0031639999942854047
2025-06-02,none,0,360,0.0031219580050674267
2025-06-03,none,0,354,0.0030392499975278042
2025-06-04,none,0,364,0.0031196249983622693
2025-06-05,none,0,358,0.0034311250055907294
2025-06-06,none,0,370,0.003156500002660323
2025-06-07,none,0,377,0.002987125000800006
2025-06-08,none,0,351,0.002979500000947155
2025-06-09,none,0,346,0.003351542000018526
2025-06-10,none,0,357,0.003435166996496264
2025-06-11,none,0,349,0.003210458999092225
2025-06-12,none,0,352,0.0032369159962399863
2025-06-13,none,0,376,0.003205082997737918
2025-06-14,none,0,382,0.0036210840044077486
2025-06-15,none,0,349,0.0030734159954590723
2025-06-16,none,0,351,0.0029533749984693713
2025-06-17,none,0,348,0.0030157080036588013
2025-06-18,none,0,345,0.0031320830021286383
2025-06-19,none,0,347,0.003399166998860892
2025-06-20,none,0,377,0.003090458005317487
2025-06-21,none,0,362,0.00307033299759496
2025-06-22,none,0,342,0.002922084000601899
2025-06-23,none,0,344,0.0030124999975669198
2025-06-24,none,0,343,0.0033135000048787333
2025-06-25,none,0,343,0.002929624999524094
2025-06-26,none,0,342,0.002983541999128647
2025-06-27,none,0,373,0.0029887909986427985
2025-06-28,none,0,373,0.003144458998576738
2025-06-29,none,0,346,0.003324708995933179
2025-06-30,none,0,357,0.002974167000502348
2025-07-01,none,0,339,0.0029421660001389682
2025-07-02,none,0,342,0.00286874999437714
2025-07-03,none,0,343,0.0035023749951506034
2025-07-04,none,0,354,0.0029775829971185885
2025-07-05,none,0,341,0.002771666993794497
2025-07-06,none,0,338,0.0029078330044285394
2025-07-07,none,0,337,0.0031124169981922023
2025-07-08,none,0,343,0.0033394170022802427
2025-07-09,none,0,341,0.003046582998649683
2025-07-10,none,0,332,0.00275491699721897
2025-07-11,none,0,362,0.0028981249997741543
2025-07-12,none,0,330,0.0027789169980678707
2025-07-13,none,0,341,0.003476125006272923
2025-07-14,none,0,336,0.0030247499962570146
2025-07-15,none,0,321,0.0028953340006410144
2025-07-16,none,0,325,0.0027524170000106096
2025-07-17,none,0,339,0.0028814589968533255
2025-07-18,none,0,351,0.0030908339977031574
2025-07-19,none,0,351,0.0029024579998804256
2025-07-20,none,0,329,0.0028337499970803037
2025-07-21,none,0,329,0.002886166999815032
2025-07-22,none,0,309,0.0030993339969427325
2025-07-23,none,0,305,0.003064458003791515
2025-07-24,none,0,310,0.002921084000263363
2025-07-25,none,0,323,0.0027029999982914887
2025-07-26,none,0,347,0.0028769580021617003
2025-07-27,none,0,318,0.003049625003768597
2025-07-28,none,0,310,0.0032163750001927838
2025-07-29,none,0,292,0.002944416002719663
2025-07-30,none,0,300,0.0027087920025223866
2025-07-31,none,0,315,0.0027570000020205043
2025-08-01,none,0,325,0.0028136249966337346
2025-08-02,none,0,355,0.003275082999607548
2025-08-03,none,0,321,0.0028589159992407076
2025-08-04,none,0,322,0.0026868330023717135
2025-08-05,none,0,330,0.0028530830022646114
2025-08-06,none,0,325,0.003007334002177231
2025-08-07,none,0,324,0.003217500001483131
2025-08-08,none,0,334,0.002952375005406793
2025-08-09,none,0,338,0.0028507500028354116
2025-08-10,none,0,333,0.002860958004021086
2025-08-11,none,0,334,0.002859166997950524
2025-08-12,none,0,327,0.003031125001143664
2025-08-13,none,0,330,0.0031219580050674267
2025-08-14,none,0,332,0.0028059169999323785
2025-08-15,none,0,365,0.003032207998330705
2025-08-16,none,0,351,0.002940958998806309
2025-08-17,none,0,339,0.003206375004083384
2025-08-18,none,0,336,0.003068166995944921
2025-08-19,none,0,335,0.002826040996296797
2025-08-20,none,0,341,0.0028910409964737482
2025-08-21,none,0,337,0.0032407910039182752
2025-08-22,none,0,342,0.0032235830003628507
2025-08-23,none,0,337,0.0028621669989661314
2025-08-24,none,0,332,0.002774209002382122
2025-08-25,none,0,344,0.0031154589960351586
2025-08-26,none,0,323,0.002838375003193505
2025-08-27,none,0,338,0.0031289589969674125
2025-08-28,none,0,332,0.003133749996777624
2025-08-29,none,0,352,0.002824167000653688
2025-08-30,none,0,351,0.002864958005375229
2025-08-31,none,0,335,0.002955416995973792
2025-09-01,none,0,344,0.003441916996962391
2025-09-02,none,0,339,0.003062707997742109
2025-09-03,none,0,332,0.002816915999574121
2025-09-04,none,0,331,0.002858250001736451
2025-09-05,none,0,325,0.002832083002431318
2025-09-06,none,0,335,0.0030004579966771416
2025-09-07,none,0,324,0.002901375002693385
2025-09-08,none,0,329,0.002887541995733045
2025-09-09,none,0,319,0.002955166004539933
