date,total_cost,plan_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-04-19,17233.38641760355,17233.38641760355,0.0,0.0,25873.584002083335,4298.460577222222,10050.0
2025-04-20,39532.06335786921,32856.09701221557,6675.966345653633,1510.8735419166683,3890.0987418333343,10050.0,6450.0
2025-04-21,36384.76955228255,33662.1306487533,2722.638903529249,765.4389396666663,6680.537755583331,6450.0,5700.0
2025-04-22,40039.71004560836,35884.6819899204,4155.0280556879625,1233.5977114166676,4135.317305500001,5700.0,7200.0
2025-04-23,36978.71014085136,35448.5042460752,1530.205894776162,413.3134884999995,5084.434385250001,7200.0,7050.0
2025-04-24,33332.189250064795,31988.879533178624,1343.3097168861682,327.71328400000044,7464.9060077500035,7050.0,1950.0
2025-04-25,15295.420028776822,15295.420028776822,0.0,0.0,29613.680391083333,1950.0,4200.0
2025-04-26,16910.442196449898,16910.442196449898,0.0,0.0,31577.05886691667,4200.0,10200.0
2025-04-27,36086.81850693756,31096.362444933482,4990.456062004081,1192.2843962499992,5215.548950166667,10200.0,6300.0
2025-04-28,58546.25006947579,32858.73452400463,25687.51554547116,6183.667276833332,1584.704470583335,6300.0,5700.0
2025-04-29,37196.77387434933,34503.24200362063,2693.5318707287015,667.1748546666649,6226.839881166667,5700.0,8550.0
2025-04-30,35159.603566150865,33081.17533341487,2078.4282327360006,554.2254122499996,6833.048376250003,8550.0,7302.921333686112
2025-05-01,47053.26552126121,31069.43149870308,15983.834022558127,3342.584695083333,3904.7964336666664,7302.921333686112,1950.0
2025-05-02,18582.848718153706,15594.401797498704,2988.446920655003,1001.7238032500009,17821.30758958333,1950.0,3449.593408981481
2025-05-03,17701.50417419332,17449.373642958446,252.13053123487424,70.00539641666649,22454.495282,3449.593408981481,10050.0
2025-05-04,46765.32942496433,32316.908777964538,14448.420646999792,3413.982811083335,3905.808267583333,10050.0,6300.0
2025-05-05,57168.289188627175,33875.478784983345,23292.81040364383,5008.216606666666,2772.88055275,6300.0,5700.0
2025-05-06,54806.14944688147,34855.59168886135,19950.55775802012,4277.447350749999,3159.414892833334,5700.0,7050.0
2025-05-07,50067.24164933794,34744.42220737222,15322.819441965727,3272.4400349166626,2897.691426916668,7050.0,5667.227144999077
