date,combo,total_cost,plan_cost,up_cost,down_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-03-29,none,19734.068941822385,19734.068941822385,0.0,0.0,0.0,0.0,24986.249520611113,6000.0,6000.0
2025-03-30,none,46373.22707175966,37866.82094888107,0.0,0.0,8506.406122878596,2131.6123364722216,6744.9747198055575,6000.0,6000.000000000002
2025-03-31,none,60909.27536577493,33318.17132959574,0.0,0.0,27591.10403617919,6980.183332305554,982.0828135555556,6000.000000000002,5999.999999999996
2025-04-01,none,49617.222284317104,39258.310695032895,0.0,0.0,10358.911589284206,2646.02548286111,5651.006122777777,5999.999999999996,6000.000000000002
2025-04-02,none,51601.17009591469,37569.4035316747,0.0,0.0,14031.766564239988,3328.2052273611084,2511.159778277778,6000.000000000002,6000.000000000003
2025-04-03,none,42968.36392911304,39146.41242377242,0.0,0.0,3821.951505340621,994.3430345833325,6179.238709500003,6000.000000000003,6000.000000000002
2025-04-04,none,19395.561191930363,19364.045354892864,0.0,0.0,31.51583703750026,7.5631958333333955,25803.37696880555,6000.000000000002,6000.000000000002
2025-04-05,none,23771.348882242848,19072.634435043696,0.0,0.0,4698.714447199151,1068.6129626944441,20759.040929944436,6000.000000000002,6000.000000000002
2025-04-06,none,44391.8307785389,35970.35916875675,0.0,0.0,8421.471609782142,2004.355053277778,5165.763807277779,6000.000000000002,6000.000000000002
2025-04-07,none,53929.92564277293,32030.188618355714,0.0,0.0,21899.737024417213,5430.687962277776,2190.05007036111,6000.000000000002,6000.0
2025-04-08,none,44002.43506643973,37033.877469920844,0.0,0.0,6968.557596518884,1511.269642972221,5507.2951390555545,6000.0,6000.000000000002
2025-04-09,none,52529.680396915064,36193.07635829,0.0,0.0,16336.604038625059,4128.468368944443,1942.7373025277766,6000.000000000002,6000.000000000001
2025-04-10,none,44151.490356741066,36080.133010500365,0.0,0.0,8071.357346240701,1845.2656402222206,3291.5250076388897,6000.000000000001,6000.000000000004
2025-04-11,none,18096.771224796674,18094.44335764373,0.0,0.0,2.327867152945028,0.6032547500001328,25172.466527972225,6000.000000000004,6000.000000000001
2025-04-12,none,19738.86038549512,19738.86038549512,0.0,0.0,0.0,0.0,23547.47126158333,6000.000000000001,5999.999999999999
2025-04-13,none,48770.2527526144,33649.95978150477,0.0,0.0,15120.29297110963,3503.8334957500006,2189.848776416667,5999.999999999999,6000.0
2025-04-14,none,40891.42128936552,35949.41444484191,0.0,0.0,4942.006844523609,1352.349854472221,5230.904808388888,6000.0,5999.999999999999
2025-04-15,none,49679.3608924293,31039.918223141343,0.0,0.0,18639.442669287957,4313.291955861115,2687.5114360277785,5999.999999999999,5999.999999999998
2025-04-16,none,46807.8572484091,34233.317151487645,0.0,0.0,12574.540096921457,2977.4519056111103,2174.547652944443,5999.999999999998,6000.0
2025-04-17,none,52565.50783264157,32004.531429486357,0.0,0.0,20560.97640315521,5024.837436666668,1280.6769014166666,6000.0,6000.000000000001
2025-04-18,none,19606.04478202945,18225.787882023076,0.0,0.0,1380.2569000063747,354.81632449999995,24722.527899083332,6000.000000000001,6000.000000000001
2025-04-19,none,18178.74796728904,17784.624991902707,0.0,0.0,394.1229753863337,110.81615558333345,23898.504682888888,6000.000000000001,6000.000000000002
2025-04-20,none,50762.078537393594,32256.43512754275,0.0,0.0,18505.64340985084,4460.543530777779,2912.526248194445,6000.000000000002,6000.000000000005
2025-04-21,none,41361.99333221154,33837.03321640802,0.0,0.0,7524.960115803526,1797.9457827777771,7496.185532444441,6000.000000000005,6000.000000000004
2025-04-22,none,56102.80312450792,30799.20928573829,0.0,0.0,25303.593838769626,6662.164000583334,2823.756851333334,6000.000000000004,6000.000000000002
2025-04-23,none,58094.63028529157,29761.060010888013,0.0,0.0,28333.57027440355,7274.091845083332,2391.559878083333,6000.000000000002,6000.000000000002
2025-04-24,none,41694.70005822488,30427.26954900197,0.0,0.0,11267.430509222911,2905.8334601388888,3296.4145608888894,6000.000000000002,5999.999999999998
2025-04-25,none,17881.321955185264,17875.24748001711,0.0,0.0,6.074475168152762,3.272003861111102,28084.98317597222,5999.999999999998,6000.000000000001
2025-04-26,none,17870.280746502816,17658.445261529236,0.0,0.0,211.83548497358157,42.43183469444409,29815.967182222215,6000.000000000001,6000.000000000002
2025-04-27,none,50367.39653035419,29740.318490371075,0.0,0.0,20627.07803998312,4697.8707913888875,2522.5779480833367,6000.000000000002,5999.999999999999
2025-04-28,none,47385.390733297696,35230.295848570444,0.0,0.0,12155.094884727256,2629.389273138888,3142.986248138891,5999.999999999999,6000.000000000002
2025-04-29,none,45772.375986868225,30567.32478837181,0.0,0.0,15205.051198496418,3353.515702944441,3994.2843456944447,6000.000000000002,6000.0
2025-04-30,none,48754.482716322396,29593.51934577479,0.0,0.0,19160.963370547608,5002.222151333333,2326.9742628055615,6000.0,6000.000000000002
2025-05-01,none,55872.1020928549,30660.552342228184,0.0,0.0,25211.549750626713,5494.711393500001,1728.810541416667,6000.000000000002,5999.999999999999
2025-05-02,none,19428.83415583675,19130.53683890114,0.0,0.0,298.29731693561064,90.19327488888871,17566.323826777774,5999.999999999999,6000.000000000001
2025-05-03,none,18764.992775376177,18108.900422157523,0.0,0.0,656.092353218652,132.01213013888872,21856.814903611106,6000.000000000001,5999.999999999998
2025-05-04,none,48715.039786292975,32314.372382505542,0.0,0.0,16400.667403787433,3653.9641607500002,3244.4783768333323,5999.999999999998,6000.0
2025-05-05,none,51347.348795049256,34036.317336732696,0.0,0.0,17311.031458316564,4366.753497472222,2184.8500402222217,6000.0,6000.000000000004
2025-05-06,none,61714.84228788822,29913.754810719278,0.0,0.0,31801.08747716894,7391.874650666665,703.2811380277722,6000.000000000004,6000.000000000002
2025-05-07,none,60133.9580662756,32454.875916389967,0.0,0.0,27679.08214988563,6543.576687944442,1007.5594889444444,6000.000000000002,5999.999999999998
2025-05-08,none,47722.69733732008,34902.76171795244,0.0,0.0,12819.935619367641,2838.365106166667,2948.8924075000014,5999.999999999998,6000.0
2025-05-09,none,19273.520526705415,19268.191910230416,0.0,0.0,5.328616474999992,1.394195833333331,23337.90531491666,6000.0,5999.999999999999
2025-05-10,none,19059.517930766207,18934.10464154379,0.0,0.0,125.41328922241782,42.061496055555914,19531.81546861111,5999.999999999999,6000.000000000004
2025-05-11,none,49215.26213022288,33973.79257515204,0.0,0.0,15241.469555070838,3309.4132563888897,2164.2121092222224,6000.000000000004,6000.000000000001
2025-05-12,none,54119.2043297353,30713.02817224456,0.0,0.0,23406.17615749074,5585.39733272222,1184.3278124722228,6000.000000000001,5999.999999999999
2025-05-13,none,46196.961249826214,35350.22389352202,0.0,0.0,10846.737356304187,2418.9285124722205,5967.194442638891,5999.999999999999,6000.0
2025-05-14,none,45713.848147291625,35379.13351778628,0.0,0.0,10334.714629505346,2481.4981575555553,4452.412913222222,6000.0,6000.0
2025-05-15,none,44786.33523686425,35831.179030394575,0.0,0.0,8955.156206469681,2514.902939999996,3586.008441416665,6000.0,6000.0
2025-05-16,none,20260.632055806647,20177.043469952812,0.0,0.0,83.58858585383324,21.40706869444442,29414.117408472222,6000.0,6000.0
2025-05-17,none,19971.23515072972,19971.23515072972,0.0,0.0,0.0,0.0,21633.367373083332,6000.0,6000.000000000001
2025-05-18,none,40842.43786382367,37284.2338745308,0.0,0.0,3558.2039892928674,979.6940789722206,6498.629452472223,6000.000000000001,6000.0
2025-05-19,none,39897.97479391923,33910.08541476411,0.0,0.0,5987.889379155124,1313.983551972222,6964.796240305557,6000.0,6000.000000000003
2025-05-20,none,49780.00014743261,33826.66431869028,0.0,0.0,15953.335828742333,3912.897832722222,2061.450678138889,6000.000000000003,6000.000000000002
2025-05-21,none,49930.21401130261,32437.91935316436,0.0,0.0,17492.294658138253,4242.464712777775,2182.693334444445,6000.000000000002,6000.000000000004
2025-05-22,none,43475.07798860838,34701.139961213776,0.0,0.0,8773.938027394604,2685.4352694444424,4288.629682027778,6000.000000000004,5999.999999999998
2025-05-23,none,19985.299064902676,19985.299064902676,0.0,0.0,0.0,0.0,25738.356046499994,5999.999999999998,6000.0
2025-05-24,none,20682.05512052527,20682.05512052527,0.0,0.0,0.0,0.0,28929.137011166666,6000.0,6000.000000000004
2025-05-25,none,39503.904258268456,35127.93942199622,0.0,0.0,4375.9648362722355,1069.8375721666666,7439.5792175,6000.000000000004,6000.0
2025-05-26,none,50428.3150165742,34426.00800774776,0.0,0.0,16002.307008826432,4417.290942472219,2410.8744893888897,6000.0,6000.0
2025-05-27,none,44543.13389217826,32749.82201350318,0.0,0.0,11793.311878675075,2795.297015305554,2623.0680553055563,6000.0,6000.0
2025-05-28,none,39560.69913338024,36513.33170108842,0.0,0.0,3047.367432291821,830.4093249444447,5617.985777527778,6000.0,6000.0
2025-05-29,none,46660.36928815467,36402.5750265118,0.0,0.0,10257.794261642868,2492.8039816666646,4839.5365415000015,6000.0,6000.000000000001
2025-05-30,none,21232.29786192042,21190.13171848792,0.0,0.0,42.166143432499915,19.37337166666663,26918.77753777778,6000.000000000001,6000.000000000004
2025-05-31,none,23346.056771165244,23152.522980065245,0.0,0.0,193.53379109999992,90.52094999999997,28025.03741386111,6000.000000000004,6000.0
2025-06-01,none,62807.324582959074,46280.32456074274,0.0,0.0,16527.000022216333,4316.555391166665,5287.426541250001,6000.0,6000.0
2025-06-02,none,65318.593967780245,48250.74299148815,0.0,0.0,17067.850976292095,4507.849638055555,10021.693415305557,6000.0,6000.000000000001
2025-06-03,none,63305.34063056426,44489.317549286236,0.0,0.0,18816.02308127802,4742.817428666668,5333.467534416668,6000.000000000001,6000.000000000002
2025-06-04,none,63981.16940171835,52488.858754576206,0.0,0.0,11492.310647142142,3472.152715472223,13904.32104313889,6000.000000000002,6000.0
2025-06-05,none,62810.59751564845,45924.26753211487,0.0,0.0,16886.329983533575,4260.0680524166655,4671.773566583336,6000.0,6000.0
2025-06-06,none,31134.503491699354,31075.909088025397,0.0,0.0,58.59440367395837,27.260002083333347,19494.13064691667,6000.0,6000.000000000001
2025-06-07,none,34097.21567144795,33977.74833416637,0.0,0.0,119.46733728158372,59.300271750000206,25319.06733308333,6000.000000000001,6000.0
2025-06-08,none,54210.78008478521,46907.291813295175,0.0,0.0,7303.488271490039,1871.995348694444,9308.024775361111,6000.0,6000.0
2025-06-09,none,56705.620986077214,53773.45745138901,0.0,0.0,2932.163534688203,980.1346410277766,11262.789440777779,6000.0,6000.0
2025-06-10,none,53915.32335659644,50032.073447579736,0.0,0.0,3883.249909016705,1197.044099333333,5903.645269833332,6000.0,6000.0
2025-06-11,none,59724.816057529,55175.182348843446,0.0,0.0,4549.633708685559,1214.0447071666672,7210.017639083338,6000.0,6000.0
2025-06-12,none,55643.537463850975,54151.65091434474,0.0,0.0,1491.8865495062328,478.6115448611103,9284.685641611115,6000.0,6000.0
2025-06-13,none,32690.02150314449,32690.02150314449,0.0,0.0,0.0,0.0,24284.97204316667,6000.0,6000.000000000002
2025-06-14,none,33442.21072979115,33418.65966195707,0.0,0.0,23.55106783408312,11.106374833333234,28070.95798275,6000.000000000002,6000.0000000000055
2025-06-15,none,54823.30394158476,51866.07705414764,0.0,0.0,2957.2268874371252,794.40468375,8321.332970250001,6000.0000000000055,6000.0
2025-06-16,none,55588.118622243004,54212.32826031989,0.0,0.0,1375.790361923112,383.954728777778,9050.915902361112,6000.0,6000.000000000004
2025-06-17,none,56941.51537671272,55461.529695361976,0.0,0.0,1479.9856813507395,403.51923675000046,9108.534063750001,6000.000000000004,6000.0
2025-06-18,none,56975.82310595125,55967.399864152205,0.0,0.0,1008.4232417990419,303.1217964999999,13615.686598000002,6000.0,6000.0
2025-06-19,none,55015.85691718421,52978.35484868378,0.0,0.0,2037.5020685004274,493.8752782499991,12253.986850666666,6000.0,5999.999999999998
2025-06-20,none,33044.45703129943,33044.45703129943,0.0,0.0,0.0,0.0,30485.106092583334,5999.999999999998,6000.000000000002
2025-06-21,none,30583.440294628843,30583.440294628843,0.0,0.0,0.0,0.0,28725.695212583334,6000.000000000002,6000.000000000001
2025-06-22,none,52939.07836049283,52499.70847337939,0.0,0.0,439.3698871134425,140.55521772222176,12548.002538638888,6000.000000000001,6000.0
2025-06-23,none,54531.20023804844,54345.16684200903,0.0,0.0,186.03339603941612,85.80359266666642,13657.276846500003,6000.0,6000.0
2025-06-24,none,62259.159747152094,61937.35903283587,0.0,0.0,321.8007143162215,115.31357008333305,15408.114593166665,6000.0,6000.0
2025-06-25,none,56116.197284059526,55020.922423924654,0.0,0.0,1095.274860134873,229.1609239999994,12880.46696516667,6000.0,6000.0
