date,model,total_cost,plan_cost,up_cost,down_cost,emergency_cost,emergency_kwh,waste_kwh,end_soc
2025-04-27,Q4-3_main,43812.0869233526,29579.80486586431,2715.7373025578945,0.0,11516.544754930404,2655.0455033472194,3868.9568851805557,6000.000000000001
2025-04-27,Q4-3_no_adjust,49883.28702703654,29579.80486586431,0.0,0.0,20303.482161172233,4697.8707913888875,2522.5779480833367,6000.0
2025-04-28,Q2_main,57365.03479042235,32947.62240674444,0.0,0.0,24417.41238367791,6183.667276833332,1584.7044705833353,6000.0
2025-04-28,Q2_baseline,55893.57059305082,46216.73160015854,0.0,0.0,9676.838992892286,2228.7497383333316,0.0,
2025-04-28,Q3_main,44416.60270785146,35230.295848570444,2190.4334686988577,0.0,6995.873390582157,1498.6378245138867,4587.944080026577,6000.000000000002
2025-04-28,Q3_no_adjust,47385.390733297696,35230.295848570444,0.0,0.0,12155.094884727256,2629.389273138888,3142.986248138891,6000.0
2025-04-28,Q4-2_main,58814.61673614246,33127.101190671296,0.0,0.0,25687.51554547116,6183.667276833332,1584.7044705833355,6000.0
2025-04-28,Q4-2_fixed_strategy,58831.82806262057,33144.3125171494,0.0,0.0,25687.51554547116,6183.667276833332,1584.7044705833353,6000.0
2025-04-28,Q4-3_main,45386.97262510953,35733.09922169724,2594.191232863547,0.0,7059.682170548742,1498.6378245138867,4587.944080026576,6000.0
2025-04-28,Q4-3_no_adjust,48147.10223699923,35733.09922169724,0.0,0.0,12414.003015301992,2629.389273138887,3142.986248138891,6000.0
2025-04-29,Q2_main,36423.03812500356,33691.521318273146,0.0,0.0,2731.51680673041,667.1748546666647,6226.839881166666,6000.0
2025-04-29,Q2_baseline,49468.1361148087,46675.32194060683,0.0,0.0,2792.814174201874,695.3646608333332,0.0,
2025-04-29,Q3_main,38329.40837255199,30567.32478837181,1697.224680224862,0.0,6064.8589039553135,1353.4155870416669,3182.425203749998,6000.000000000001
2025-04-29,Q3_no_adjust,45772.375986868225,30567.32478837181,0.0,0.0,15205.051198496418,3353.515702944441,3994.2843456944447,6000.0
2025-04-29,Q4-2_main,35838.52387434933,33144.99200362063,0.0,0.0,2693.5318707287015,667.1748546666649,6226.839881166667,6000.0
2025-04-29,Q4-2_fixed_strategy,35888.13722700538,33194.60535627668,0.0,0.0,2693.531870728701,667.1748546666647,6226.839881166666,6000.0
2025-04-29,Q4-3_main,37690.67451709243,30113.613469302305,1730.5420945563974,0.0,5846.518953233732,1339.2740422500005,3273.648173958332,6000.0
2025-04-29,Q4-3_no_adjust,44804.240574482305,30113.613469302305,0.0,0.0,14690.627105180003,3353.5157029444413,3994.284345694445,6000.0
2025-04-30,Q2_main,36390.49576658698,34293.00786735981,0.0,0.0,2097.4878992271674,554.2254122499996,6833.048376250003,6000.0
2025-04-30,Q2_baseline,49106.25823238587,46799.04531451421,0.0,0.0,2307.2129178716664,625.87349375,0.0,
2025-04-30,Q3_main,44491.07786778515,29593.51934577479,897.1217851076967,0.0,14000.43673690266,3479.217082888886,1598.1110185555574,6000.0
2025-04-30,Q3_no_adjust,48754.482716322396,29593.51934577479,0.0,0.0,19160.963370547608,5002.222151333333,2326.9742628055615,6000.0
2025-04-30,Q4-2_main,35835.65638155179,33757.22814881579,0.0,0.0,2078.4282327360006,554.2254122499996,6833.048376250003,6000.0
2025-04-30,Q4-2_fixed_strategy,35678.65953446261,33600.23130172661,0.0,0.0,2078.4282327360006,554.2254122499996,6833.048376250003,6000.0
2025-04-30,Q4-3_main,43190.61446671444,29024.766312670607,822.0815342254012,0.0,13343.766619818427,3479.097353722219,1597.9912893888895,6000.0
2025-04-30,Q4-3_no_adjust,47404.6601139143,29024.766312670607,0.0,0.0,18379.893801243692,5002.222151333333,2326.9742628055615,6000.0
2025-05-01,Q2_main,48778.58140950185,33117.06832728552,0.0,0.0,15661.513082216334,3342.584695083333,3904.7964336666664,6000.0
2025-05-01,Q2_baseline,61669.99552128021,46678.29162727791,0.0,0.0,14991.70389400229,3327.3906445833327,0.0,
2025-05-01,Q3_main,52499.71311286728,30660.552342228184,3020.09397832961,0.0,18819.066792309477,4158.948888444443,3535.54981572222,6000.0
2025-05-01,Q3_no_adjust,55872.1020928549,30660.552342228184,0.0,0.0,25211.549750626713,5494.711393500001,1728.810541416667,6000.0
2025-05-01,Q4-2_main,49539.073455948084,33555.23943338996,0.0,0.0,15983.834022558127,3342.584695083334,3904.7964336666664,6000.0
2025-05-01,Q4-2_fixed_strategy,50028.594509172115,34044.76048661399,0.0,0.0,15983.834022558127,3342.584695083333,3904.7964336666664,6000.0
2025-05-01,Q4-3_main,53355.092415472354,31124.49546055941,2974.963639334762,0.0,19255.633315578183,4158.948888444443,3535.54981572222,6000.000000000001
2025-05-01,Q4-3_no_adjust,56750.31802660802,31124.49546055941,0.0,0.0,25625.822566048613,5494.711393500001,1728.810541416667,6000.0
2025-05-02,Q2_main,22671.9787775716,18658.98735322701,0.0,0.0,4012.9914243445883,1001.7238032500009,17821.30758958333,6000.0
2025-05-02,Q2_baseline,31368.50741159279,30773.758078007584,0.0,0.0,594.7493335852075,184.0815729166664,0.0,
2025-05-02,Q3_main,31127.404091299853,19130.53683890114,0.0,0.0,11996.867252398717,2393.3112018055544,20523.938753168382,6000.000000000001
2025-05-02,Q3_no_adjust,19428.83415583675,19130.53683890114,0.0,0.0,298.29731693561064,90.19327488888871,17566.323826777774,6000.0
2025-05-02,Q4-2_main,18189.85990545442,15201.412984799417,0.0,0.0,2988.446920655003,1001.7238032500009,17821.30758958333,6000.0
2025-05-02,Q4-2_fixed_strategy,18165.980016312904,15177.533095657902,0.0,0.0,2988.4469206550034,1001.7238032500009,17821.30758958333,6000.0
2025-05-02,Q4-3_main,25928.24374154342,15507.797792701724,0.0,0.0,10420.445948841698,2396.240959472221,20526.868510835047,6000.000000000001
2025-05-02,Q4-3_no_adjust,15759.36946842864,15507.797792701724,0.0,0.0,251.57167572691594,90.1932748888886,17566.323826777774,6000.0
2025-05-03,Q2_main,19043.729730234805,18765.36063220785,0.0,0.0,278.36909802695743,70.00539641666649,22454.495282000003,6000.0
2025-05-03,Q2_baseline,31771.56829711591,30819.88448002633,0.0,0.0,951.6838170895838,218.09674666666677,0.0,
2025-05-03,Q3_main,30766.47385500384,18108.900422157523,0.0,0.0,12657.573432846317,2403.6121031111106,24779.526546567897,6000.000000000002
2025-05-03,Q3_no_adjust,18764.992775376177,18108.900422157523,0.0,0.0,656.092353218652,132.01213013888872,21856.814903611106,6000.0
2025-05-03,Q4-2_main,15314.406597487206,15062.276066252332,0.0,0.0,252.1305312348744,70.0053964166666,22454.495282000003,6000.0
2025-05-03,Q4-2_fixed_strategy,15389.210804389557,15137.080273154683,0.0,0.0,252.13053123487424,70.00539641666649,22454.495282000003,6000.0
2025-05-03,Q4-3_main,25717.511564835695,14527.204098431059,0.0,0.0,11190.307466404636,2480.7807803611113,24856.6952238179,6000.000000000002
2025-05-03,Q4-3_no_adjust,15138.678794166406,14527.204098431059,0.0,0.0,611.4746957353466,132.01213013888884,21856.814903611106,6000.0
2025-05-04,Q2_main,47436.86476743757,33333.38920962806,0.0,0.0,14103.475557809503,3413.982811083334,3905.808267583333,6000.0
2025-05-04,Q2_baseline,59200.630660353374,46617.068535865874,0.0,0.0,12583.5621244875,2883.584887916667,0.0,
2025-05-04,Q3_main,55675.28469531218,32314.37238250554,772.4528669189806,0.0,22588.459445887664,5478.450114097222,5803.685639771433,6000.000000000003
2025-05-04,Q3_no_adjust,48715.03978629297,32314.37238250554,0.0,0.0,16400.667403787433,3653.9641607500002,3244.4783768333323,6000.0
2025-05-04,Q4-2_main,48661.72344698577,34213.30279998598,0.0,0.0,14448.420646999795,3413.982811083335,3905.808267583333,6000.0
2025-05-04,Q4-2_fixed_strategy,48662.171010916856,34213.75036391706,0.0,0.0,14448.420646999793,3413.982811083334,3905.808267583333,6000.0
2025-05-04,Q4-3_main,57869.692845764584,33145.22035032684,745.3203638557586,0.0,23979.152131581985,5739.562530180556,6039.531663910319,6000.0
2025-05-04,Q4-3_no_adjust,49761.19368064766,33145.22035032684,0.0,0.0,16615.97333032082,3653.9641607500002,3244.4783768333323,6000.0
2025-05-05,Q2_main,56467.486849213456,33477.39895331421,0.0,0.0,22990.087895899247,5008.216606666665,2772.88055275,6000.0
2025-05-05,Q2_baseline,64627.78980854262,46017.499612224914,0.0,0.0,18610.290196317706,4128.50846875,0.0,
