problem,run,min_supply_slack,max_soc_residual,max_simultaneous_charge_discharge,min_soc,max_soc,solver_feasible,passed
Q4-2,2025-02-21,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-21,0.0,0.0,0.0,1946.3011509861142,10800.0,True,True
Q2,2025-02-22,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-22,0.0,0.0,0.0,2045.8534333333323,10783.897785521296,True,True
Q4-2,2025-02-22,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-22,0.0,0.0,0.0,1909.3292873750001,10800.0,True,True
Q2,2025-02-23,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-23,-1.4210854715202004e-14,0.0,0.0,1199.9999999999977,10800.0,True,True
Q4-2,2025-02-23,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-23,-1.4210854715202004e-14,0.0,0.0,1200.0000000000005,10800.0,True,True
Q2,2025-02-24,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-24,0.0,0.0,0.0,1200.0000000000005,10800.0,True,True
Q4-2,2025-02-24,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-24,0.0,0.0,0.0,1200.0000000000005,10800.0,True,True
Q2,2025-02-25,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-25,0.0,0.0,0.0,1231.0419750000015,10800.0,True,True
Q4-2,2025-02-25,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-25,0.0,0.0,0.0,1231.0419749999987,10800.0,True,True
Q2,2025-02-26,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-26,-3.552713678800501e-15,0.0,0.0,1212.3668161111086,10800.0,True,True
Q4-2,2025-02-26,-1.1368683772161603e-13,2.2737367544323206e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-26,-3.552713678800501e-15,0.0,0.0,1209.3237581018507,10800.0,True,True
Q2,2025-02-27,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-27,-3.552713678800501e-15,0.0,0.0,1200.0000000000016,10800.0,True,True
Q4-2,2025-02-27,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-27,-3.552713678800501e-15,0.0,0.0,1200.0000000000016,10800.0,True,True
Q2,2025-02-28,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-28,0.0,0.0,0.0,1815.856437037037,9068.468759259258,True,True
Q4-2,2025-02-28,-5.684341886080802e-14,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-28,0.0,0.0,0.0,1689.7066406597244,8980.809990196762,True,True
Q2,2025-03-01,-5.684341886080802e-14,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-01,0.0,0.0,0.0,1325.0686259259278,10800.0,True,True
Q4-2,2025-03-01,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-01,0.0,0.0,0.0,1200.0000000000005,10800.0,True,True
Q2,2025-03-02,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-02,-7.105427357601002e-15,0.0,0.0,1199.999999999999,10800.0,True,True
Q4-2,2025-03-02,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-02,-7.105427357601002e-15,0.0,0.0,1200.0000000000005,10800.0,True,True
Q2,2025-03-03,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-03,0.0,0.0,0.0,1200.0000000000011,10800.0,True,True
Q4-2,2025-03-03,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-03,0.0,0.0,0.0,1200.0000000000025,10800.0,True,True
Q2,2025-03-04,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-04,-7.105427357601002e-15,0.0,0.0,1200.0000000000007,10800.0,True,True
Q4-2,2025-03-04,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-04,-7.105427357601002e-15,0.0,0.0,1199.9999999999989,10800.0,True,True
Q2,2025-03-05,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-05,0.0,0.0,0.0,1199.9999999999986,10800.0,True,True
Q4-2,2025-03-05,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-05,0.0,0.0,0.0,1199.9999999999995,10800.0,True,True
Q2,2025-03-06,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-06,-7.105427357601002e-15,0.0,0.0,1200.0000000000007,10800.0,True,True
Q4-2,2025-03-06,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-06,-7.105427357601002e-15,0.0,0.0,1200.0000000000007,10800.0,True,True
Q2,2025-03-07,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-07,-2.6645352591003757e-15,0.0,0.0,1511.9901740740777,8846.053361102777,True,True
Q4-2,2025-03-07,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-07,-2.6645352591003757e-15,0.0,0.0,1370.492447319449,8430.327374852779,True,True
Q2,2025-03-08,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-08,0.0,0.0,0.0,1790.2569518518487,8717.940355555553,True,True
Q4-2,2025-03-08,-5.684341886080802e-14,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-08,0.0,0.0,0.0,1647.961622861111,8612.536086055554,True,True
Q2,2025-03-09,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-09,0.0,0.0,0.0,1200.0000000000005,10800.0,True,True
Q4-2,2025-03-09,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-09,0.0,0.0,0.0,1200.0000000000002,10800.0,True,True
Q2,2025-03-10,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-10,-7.105427357601002e-15,0.0,0.0,1200.0000000000005,10800.0,True,True
Q4-2,2025-03-10,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-10,-7.105427357601002e-15,0.0,0.0,1200.000000000001,10800.0,True,True
Q2,2025-03-11,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-11,-7.105427357601002e-15,0.0,0.0,1200.000000000001,10800.0,True,True
Q4-2,2025-03-11,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-11,-7.105427357601002e-15,0.0,0.0,1200.000000000001,10800.0,True,True
Q2,2025-03-12,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-12,-3.552713678800501e-15,0.0,0.0,1200.0000000000018,10800.0,True,True
Q4-2,2025-03-12,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-12,-3.552713678800501e-15,0.0,0.0,1200.0000000000018,10800.0,True,True
Q2,2025-03-13,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-13,0.0,0.0,0.0,1200.0000000000007,10800.0,True,True
Q4-2,2025-03-13,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-13,0.0,0.0,0.0,1200.0000000000007,10800.0,True,True
Q2,2025-03-14,-5.684341886080802e-14,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-14,0.0,0.0,0.0,1592.8186555555535,8729.57175185185,True,True
Q4-2,2025-03-14,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-14,0.0,0.0,0.0,1463.45205952083,8624.756321789351,True,True
Q2,2025-03-15,-5.684341886080802e-14,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-15,0.0,0.0,0.0,1780.777866666665,8903.269362962963,True,True
Q4-2,2025-03-15,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-15,0.0,0.0,0.0,1648.4572614999993,8807.24737446296,True,True
Q2,2025-03-16,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-16,0.0,0.0,0.0,1200.000000000001,10800.0,True,True
Q4-2,2025-03-16,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-16,0.0,0.0,0.0,1200.0,10800.0,True,True
Q2,2025-03-17,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-17,-1.3322676295501878e-15,0.0,0.0,1199.999999999999,10800.0,True,True
Q4-2,2025-03-17,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-17,-1.3322676295501878e-15,0.0,0.0,1200.0,10800.0,True,True
Q2,2025-03-18,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-18,0.0,0.0,0.0,1200.000000000001,10800.0,True,True
Q4-2,2025-03-18,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-18,0.0,0.0,0.0,1200.000000000001,10800.0,True,True
Q2,2025-03-19,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-19,0.0,0.0,0.0,1200.0000000000002,10800.0,True,True
Q4-2,2025-03-19,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-19,0.0,0.0,0.0,1200.0000000000002,10800.0,True,True
Q2,2025-03-20,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-20,-7.105427357601002e-15,0.0,0.0,1200.0000000000005,10800.0,True,True
Q4-2,2025-03-20,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-20,-7.105427357601002e-15,0.0,0.0,1199.9999999999995,10800.0,True,True
Q2,2025-03-21,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-21,0.0,0.0,0.0,1657.4673857407408,9071.471666666666,True,True
Q4-2,2025-03-21,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-21,0.0,0.0,0.0,1657.4673857407408,8983.964919791666,True,True
Q2,2025-03-22,-5.684341886080802e-14,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-22,0.0,0.0,0.0,1991.7952518518516,9174.360418518521,True,True
Q4-2,2025-03-22,-5.684341886080802e-14,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-22,0.0,0.0,0.0,1860.010044798608,9092.062414706019,True,True
Q2,2025-03-23,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-23,0.0,0.0,0.0,1200.0000000000005,10800.0,True,True
Q4-2,2025-03-23,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-23,0.0,0.0,0.0,1200.0000000000005,10800.0,True,True
Q2,2025-03-24,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-24,0.0,0.0,0.0,1219.3364381450629,10800.0,True,True
Q4-2,2025-03-24,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-24,0.0,0.0,0.0,1216.5705433449061,10800.0,True,True
Q2,2025-03-25,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-25,0.0,0.0,0.0,1200.0000000000016,10800.0,True,True
Q4-2,2025-03-25,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-25,0.0,0.0,0.0,1200.0000000000002,10800.0,True,True
Q2,2025-03-26,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-26,0.0,0.0,0.0,1199.9999999999995,10800.0,True,True
Q4-2,2025-03-26,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-26,0.0,0.0,0.0,1200.0,10800.0,True,True
Q2,2025-03-27,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-27,0.0,0.0,0.0,1200.000000000001,10800.0,True,True
Q4-2,2025-03-27,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-27,0.0,0.0,0.0,1200.0,10800.0,True,True
Q2,2025-03-28,-5.684341886080802e-14,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-28,0.0,0.0,0.0,2186.767861111115,9290.98001851852,True,True
Q4-2,2025-03-28,-5.684341886080802e-14,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-28,0.0,0.0,0.0,2124.293506172842,9290.412932098767,True,True
Q2,2025-03-29,0.0,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-29,0.0,0.0,0.0,2043.4216766049387,9450.127342592596,True,True
Q4-2,2025-03-29,-5.684341886080802e-14,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-29,0.0,0.0,0.0,2043.4216766049387,9382.404049699078,True,True
Q2,2025-03-30,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-03-30,-7.105427357601002e-15,0.0,0.0,1200.0000000000005,10800.0,True,True
Q4-2,2025-03-30,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-30,-7.105427357601002e-15,0.0,0.0,1199.999999999999,10800.0,True,True
Q2,2025-03-31,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-03-31,0.0,0.0,0.0,1200.0000000000005,10778.543448719482,True,True
Q4-2,2025-03-31,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-03-31,0.0,0.0,0.0,1200.0,10779.045718997259,True,True
Q2,2025-04-01,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-01,0.0,0.0,0.0,1200.000000000003,10800.0,True,True
Q4-2,2025-04-01,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-01,0.0,0.0,0.0,1200.0000000000007,10800.0,True,True
Q2,2025-04-02,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-02,0.0,0.0,0.0,1200.0000000000014,10800.0,True,True
Q4-2,2025-04-02,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-02,0.0,0.0,0.0,1200.0000000000014,10800.0,True,True
Q2,2025-04-03,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-03,0.0,0.0,0.0,1200.0000000000027,10800.0,True,True
Q4-2,2025-04-03,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-03,0.0,0.0,0.0,1200.0000000000014,10800.0,True,True
Q2,2025-04-04,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-04,0.0,0.0,0.0,1927.5154796296256,9109.739870370367,True,True
Q4-2,2025-04-04,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-04,0.0,0.0,0.0,1927.5154796296292,9109.73987037037,True,True
Q2,2025-04-05,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q3,2025-04-05,0.0,0.0,0.0,1552.6977370370375,9129.528407407408,True,True
Q4-2,2025-04-05,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-05,0.0,0.0,0.0,1552.6977370370375,9129.52840740741,True,True
Q2,2025-04-06,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-06,0.0,0.0,0.0,1220.6192307623435,10800.0,True,True
