problem,run,iterations,runtime_s,solver_objective
Q3,2025-02-27@00,372,0.0018660829999999073,41232.11401752326
Q3,2025-02-27@06,265,0.002147082999999661,65.74615459747686
Q3,2025-02-27@12,182,0.0012501249999998798,443.9194217921145
Q3,2025-02-27@18,91,0.0005667500000003933,49.23106783414236
Q4-2,2025-02-27,361,0.0018655829999998375,49082.48021917689
Q4-3,2025-02-27@00,370,0.0019000839999998576,43858.9781428435
Q4-3,2025-02-27@06,262,0.002282582999999949,74.77193178017897
Q4-3,2025-02-27@12,184,0.0013934170000000634,503.86874321973534
Q4-3,2025-02-27@18,95,0.0005991249999999226,46.984036936382054
Q2,2025-02-28,360,0.0018304159999997793,24658.563525949336
Q3,2025-02-28@00,338,0.0017680829999999759,22894.423633487633
Q3,2025-02-28@06,226,0.0019661659999998804,0.0026424349190256177
Q3,2025-02-28@12,177,0.0011982500000002894,0.0019948846068698557
Q3,2025-02-28@18,80,0.0005621250000000799,0.001117639949329218
Q4-2,2025-02-28,361,0.001871249999999769,21764.765019732044
Q4-3,2025-02-28@00,340,0.001745958000000325,20228.513409090563
Q4-3,2025-02-28@06,232,0.0021798339999996585,0.0026424349190256177
Q4-3,2025-02-28@12,181,0.0012157909999999106,0.001994884606869856
Q4-3,2025-02-28@18,90,0.0005745830000001284,0.0010902107265586421
Q2,2025-03-01,357,0.0018098749999997388,24306.001772441126
Q3,2025-03-01@00,363,0.001920709000000187,26266.740519415773
Q3,2025-03-01@06,246,0.001993375000000075,0.002165428381065312
Q3,2025-03-01@12,209,0.0013102499999999573,0.001468125921206104
Q3,2025-03-01@18,77,0.0005544170000000292,0.0011254514966748971
Q4-2,2025-03-01,356,0.0018455829999997064,21479.914641680418
Q4-3,2025-03-01@00,366,0.001934667000000001,23147.162191857366
Q4-3,2025-03-01@06,246,0.0021607500000002666,0.0022369737225365056
Q4-3,2025-03-01@12,190,0.0012813340000001894,0.0015396712626772973
Q4-3,2025-03-01@18,78,0.0005407499999998677,0.0011047033689452162
Q2,2025-03-02,364,0.001954916999999945,44961.34804259151
Q3,2025-03-02@00,375,0.002061041999999791,46493.90050076268
Q3,2025-03-02@06,282,0.0021844170000000496,116.67898183798175
Q3,2025-03-02@12,189,0.0012980420000001658,0.0022500262487609216
Q3,2025-03-02@18,90,0.0005817079999999031,247.36313229644446
Q4-2,2025-03-02,361,0.00194204099999995,47783.95105552778
Q4-3,2025-03-02@00,376,0.002189708000000401,49557.736882198755
Q4-3,2025-03-02@06,283,0.0021385419999999655,132.3156755408683
Q4-3,2025-03-02@12,189,0.0012339999999997353,0.0021985872026734385
Q4-3,2025-03-02@18,92,0.0005767919999999371,236.57661396074207
Q2,2025-03-03,366,0.0019376669999999763,43595.29293761714
Q3,2025-03-03@00,377,0.001952208999999705,48120.81021909597
Q3,2025-03-03@06,280,0.0022018749999999088,277.2974284093678
Q3,2025-03-03@12,183,0.001283499999999993,0.0021404625390145228
Q3,2025-03-03@18,92,0.0006010409999999133,423.8144855945231
Q4-2,2025-03-03,366,0.002084666000000013,46091.149652282504
Q4-3,2025-03-03@00,374,0.0020643329999998627,51330.50872919328
Q4-3,2025-03-03@06,276,0.0021762499999997686,307.7337338276482
Q4-3,2025-03-03@12,192,0.0013457500000000344,0.0021452886927791313
Q4-3,2025-03-03@18,89,0.0005860410000000371,417.6379216419159
Q2,2025-03-04,362,0.0019660420000002787,44244.204684710436
Q3,2025-03-04@00,370,0.0019517919999998412,42372.75824296398
Q3,2025-03-04@06,287,0.00214837499999998,145.43583541193317
Q3,2025-03-04@12,183,0.0012780420000000348,0.0018874683227434145
Q3,2025-03-04@18,91,0.0007349589999998685,176.27915503816976
Q4-2,2025-03-04,364,0.0019962909999997613,46655.36966319212
Q4-3,2025-03-04@00,369,0.001903167000000039,44486.44000682664
Q4-3,2025-03-04@06,289,0.0021402500000000657,163.32003958853832
Q4-3,2025-03-04@12,183,0.0012399999999996858,0.001887468322743414
Q4-3,2025-03-04@18,92,0.0006392919999997915,169.74139107508682
Q2,2025-03-05,361,0.0018945409999999718,44727.9761332651
Q3,2025-03-05@00,370,0.0019878750000001943,44360.249475085264
Q3,2025-03-05@06,261,0.0020882499999999027,0.003071382408528839
Q3,2025-03-05@12,186,0.0013049579999999672,0.002028604397841358
Q3,2025-03-05@18,90,0.0005823750000000238,140.95429216077602
Q4-2,2025-03-05,362,0.0020090000000001496,47165.02209196091
Q4-3,2025-03-05@00,365,0.0019496660000002386,46810.516816656884
Q4-3,2025-03-05@06,264,0.0020832079999997255,0.0029860204417516104
Q4-3,2025-03-05@12,186,0.0012507500000000782,0.0020298650261746914
Q4-3,2025-03-05@18,93,0.0006010000000000737,132.74113579317077
Q2,2025-03-06,364,0.0019723339999999645,43452.903473515835
Q3,2025-03-06@00,374,0.0019044159999999088,41168.56893122522
Q3,2025-03-06@06,262,0.0021804169999999345,0.0032517065439563613
Q3,2025-03-06@12,184,0.0012372080000000452,357.06195040079183
Q3,2025-03-06@18,91,0.0005768750000001432,198.69901999867812
Q4-2,2025-03-06,365,0.0019636249999996913,45584.01964322767
Q4-3,2025-03-06@00,373,0.0018824999999997871,42953.044577547225
Q4-3,2025-03-06@06,262,0.0020882079999999803,0.00325000818917584
Q4-3,2025-03-06@12,187,0.0012348749999997466,410.78485508788646
Q4-3,2025-03-06@18,92,0.0005748749999998637,188.53844537177383
Q2,2025-03-07,356,0.0018938330000000114,23629.584250854587
Q3,2025-03-07@00,367,0.001964082999999839,24448.00570841275
Q3,2025-03-07@06,231,0.0021140420000000937,0.002294822309648457
Q3,2025-03-07@12,186,0.001361624999999922,0.0017197590704824068
Q3,2025-03-07@18,78,0.0005722919999997522,0.0011177027034362137
Q4-2,2025-03-07,352,0.0017860000000000653,20559.10484893223
Q4-3,2025-03-07@00,363,0.0018745000000000012,21262.103137861068
Q4-3,2025-03-07@06,232,0.0020253329999997405,0.002341014085898457
Q4-3,2025-03-07@12,186,0.0012604170000001247,0.0017659508467324065
Q4-3,2025-03-07@18,85,0.0006508749999998287,0.0010951090798464503
Q2,2025-03-08,359,0.001860792,23873.230416107308
